date,title,candidate,offer,experience,difficulty,application,Interview,Interview Questions
"Sep 8, 2022",Data Scientist Interview,Anonymous Employee in Cork,Accepted Offer,Positive Experience,Average Interview,I applied online.The process took 4 weeks.I interviewed at Apple (Cork) in Nov 2021,"There are 4 stages I went through:

HR Screen - Quick 15 minute call
Talking with the hiring manager - 45 mins
Technical Screen (SQL & Basic Python/AB Testing) - 60mins
Panel interview - 4 x 30 mins with different stakeholders","Typical Data Science interview

The hiring manager asked questions regarding my experience with payments/revenue data

The stakeholders talked about behavioural stuff and how I deal with difficult situations

The technical screen involved some SQL coding on Coderpad and a basic Python string question"
"Oct 25, 2021",Data Scientist Interview,Anonymous Interview Candidate,No Offer,Negative Experience,Difficult Interview,I applied online.The process took 2 months.I interviewed at Apple in Oct 2021,"Super long and tedious interview process that spanned multiple stages: HR screening, Hiring Manager screening, Technical assessment (SQL), Case Study + presentation to a panel of team members, Final rounds with 5 separate 1:1 interviews (behavioral, product sense, statistics).

For the case study, we were given a dataset, a a problem statement and a week to put together insights/a presentation centered around A/B testing.

The final round was most challenging, involving multiple behavioral interviews, a product sense interview and a philosophical debate on Bayesian vs. frequentist statistics after reading an article that the interviewer wrote. My experience during the final rounds was very negative. One interviewer had a poor connection which led to a very awkward conversation where we couldn't understand each other. Another interviewer was constantly distracted and left 15 minutes early. And finally, the debate was extremely combative and the interviewer came off as a know it all. 

After the last interview, I did not hear from the recruiter for 1.5 weeks. I was finally rejected after I sent a follow-up e-mail.","Q: Describe a confidence interval.
Q: What is your favorite Apple product. Follow-up: How would you improve it?
Q: Debate on Bayesian vs. Frequentist Statistics.
Q: Explain a scenario where you found something unexpected in your data."
"Sep 1, 2021",Data Scientist Interview,Anonymous Interview Candidate,No Offer,Negative Experience,Difficult Interview,I applied through a recruiter.I interviewed at Apple in Sep 2021,"Had a technical screen, a one hour case study that they give you 3 hours to prep for, and an 8 hour onsite. After the onsite there was no feedback whatsoever given from the recruiters or any members of the team. Took two and half weeks to get the final decision after the onsite.","General behavioral questions, some probability questions, and one brain teaser puzzle. "
"Aug 30, 2021",Data Scientist Interview,Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I interviewed at Apple,"phone call interview that took about ~45 minutes to go over resume & general introduction. This seems to have served as a first filter to the next phase which is a take home assignment, which is then followed by a presentation to the team and more rounds of interview.",Items about resume and job posting
"Jun 25, 2021",Data Scientist Interview,Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I interviewed at Apple,"Recruiter contacted me regarding the opportunity, even though I didn't apply to that specific role and then phone coding interview. Hiring Manager interview, Panel interview (6 people), VP interview. Overall process took like 4 weeks, the recruiter was very helpful for interview preps. Panel interview was quite intense 7 hours in a day, and you should get a positive feedback from every interviewer in order to be accepted.",Product sense questions of a product that team focused on.
"Apr 6, 2021",Data Scientist Interview,Anonymous Interview Candidate,No Offer,Positive Experience,Difficult Interview,I interviewed at Apple,First discussed previous experiences and quizzed on broad topics relevant to the specific department. Then it was followed up with a take-home data challenge. The data challenge was discussed in front of a group of people from the department.,What metrics can you use to evaluate a model? 
"Feb 24, 2021",Data Scientist Interview,Anonymous Interview Candidate,No Offer,Negative Experience,Average Interview,I interviewed at Apple,"A recruiter reached me out but ghosted me so I applied to the position again with another referral. However, the same recruiter reached me out and ghosted me again. Her excuse was that she lost my previous emails but I cannot agree how this big company coordinated the interview process like this.",Question based on your resume
"Nov 2, 2022",Data Scientist Interview,Anonymous Interview Candidate in Barcelona,No Offer,Positive Experience,Difficult Interview,I applied online.The process took 3 days.I interviewed at Apple (Barcelona) in Mar 2021,"un proceso muy guiado y muy bueno, la verdad que es recomendable hacerlo y tiene varias fases. La entrevista es presencial en mi caso particular en las oficinas de apple.",que aportaria a la empresa y porque deberian contratarme
"Feb 5, 2021",Data Science Interview,Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I applied through other source.I interviewed at Apple,"I was interviewed by the hiring manager, a cross functional team manager and a future co-worker. They asked various questions about my past experiences using data. The interviews were done in a drop in room where I would meet one person after another.",Tell me what you know about displays.
"Jul 2, 2021",Data Scientist Interview,Anonymous Interview Candidate,No Offer,Positive Experience,Difficult Interview,I applied through a recruiter.I interviewed at Apple in Feb 2021,"HR approached by email
1-2 days after
Screen Interview with manager. Asked about experience and introduced the team. 
one week after
Technical Interview with DS in Team (Python medium hard level+ SQL medium hard level)",Tell me about your current responsibilities 
"Sep 3, 2020",Data Scientist Interview,"Anonymous Interview Candidate in Austin, TX",No Offer,Negative Experience,Difficult Interview,"I applied through an employee referral.The process took 3 months.I interviewed at Apple (Austin, TX) in Jun 2020","Approached by a recruiter, once I talked with someone in the team. Getting in apple is really difficult.Initial phone screening, manager screening, case study and final round. Overall the process is quite tedious and you loose interest in general. 

But definately worth a shot if you can explain why Apple is a good fit for you. Dream company of mine.",How do you approach problems in a deadline environment
"Mar 1, 2020",Data Scientist Interview,Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I applied online.I interviewed at Apple,"Applied online and got Phone Interview offer through email. They asked me to tell them all the availability during two weeks and an available phone number. During the conversation over the phone, he started asking why I want this position and my projects",They asked about my projects in resume
"Mar 20, 2020",Data Scientist Interview,Anonymous Interview Candidate,No Offer,Neutral Experience,Average Interview,I applied online.The process took 4 weeks.I interviewed at Apple in Feb 2020,"In the first part the interviewer asked questions related to my CV, and also understanding about machine learning algorithms such as the difference between random forest and xgboost.

Second part is data query coding questions.","Given a table of user log with platform information, count daily active users on each platform (ipad, iphone, mac)."
"Feb 1, 2023",Data Scientist Interview,"Anonymous Interview Candidate in Los Angeles, CA",Declined Offer,Positive Experience,Difficult Interview,"I applied through an employee referral.The process took 8 weeks.I interviewed at Apple (Los Angeles, CA) in Feb 2020",It was 4 stages where first stage is a phone screening. The next stage is a coding interview followed by whiteboard interview. Finally you are greeted with the hiring board.,Describe the difference between knn and k nearest neighbor.
"Feb 7, 2020",Data Scientist Interview,"Anonymous Interview Candidate in Austin, TX",No Offer,Positive Experience,Difficult Interview,"I applied online.The process took 3 weeks.I interviewed at Apple (Austin, TX) in Dec 2019","A phone screen with a recruiter, followed by a homework assignment, followed by an all-day onsite interview. Interviewers were kind and asked thoughtful questions at all stages. Take water and a snack to onsite interview.",What questions do you have for us?
"Jun 19, 2019",Data Science Interview,"Anonymous Interview Candidate in Cupertino, CA",No Offer,Positive Experience,Average Interview,"I applied through a recruiter.The process took 2 months.I interviewed at Apple (Cupertino, CA) in Apr 2019","I went through 3 phone interviews before I was invited for an on-site interview. The first interview was a 30 minute phone call with the hiring manager. He asked about my past experience and basic data science questions. The next call was with a data scientist on the team who asked me to code in python.  The third call was with a senior data scientist that asked basic machine learning questions. The on-site interview was a whole day ordeal. I got there at 10:30 am and left at 4:30 pm. There were several 30-minute meetings with data scientists, machine learning engineers, managers, etc.","What is Variance and Bias? 
How do you decide whether one classification algorithm is better than the other?  
What is a naive bayes classifier? 
Describe neural network
Draw a confusion matrix and calculate precision and recall
Coding questions included binary tree implementation and computing ngrams in python. 
"
"Mar 28, 2019",Data Scientist Interview,"Anonymous Interview Candidate in Cupertino, CA",No Offer,Negative Experience,Average Interview,"I applied online.The process took 4 weeks.I interviewed at Apple (Cupertino, CA) in Mar 2019",I was prepared for this interview.  I aced the take-home offline coding challenge.  I correctly answered the technical challenges during the onsite.  I got along with everyone on the team during lunch.  After the interview I felt that I was highly qualified for the role. I surmise that it came down to culture fit.  It took time and energy that could have been devoted to pursuing other prospects but it served as a good way of polishing my presentation skills for subsequent interviews.,How would you conduct an A/B test?
"Jan 9, 2019",Data Scientist Interview,Anonymous Interview Candidate,No Offer,Neutral Experience,Average Interview,I applied through college or university.I interviewed at Apple,The questions were simple. The interview was for Siri technical team. It was  a 45 minutes interview. I did a resume walk through. Some general questions like tell me about yourself. What techniques we're using in this project? Explained about what they did on their team. Questions were more like a general software engineer interview.,Find the index at which the sum of left half of array is equal to the right half.
"Jan 4, 2020",Data Scientist Interview,"Anonymous Employee in San Jose, CA",Accepted Offer,Positive Experience,Average Interview,"I applied online.I interviewed at Apple (San Jose, CA) in Jan 2019","straight forward, basic statistic questions. production questions are centered on apple's own and they expect just some basic knowledge and elaborate on thought process. Coding is leetcode easy. i think culture and team fit is very important",how to calculate sample size?
"Nov 10, 2018",Data Scientist Interview,"Anonymous Interview Candidate in Cupertino, CA",No Offer,Neutral Experience,Difficult Interview,"I applied through an employee referral.The process took 3 weeks.I interviewed at Apple (Cupertino, CA) in Oct 2018","Hectic but intriguing. I had one phone interview(45 mins) and then onsite round comprising of 5 rounds. The phone interview comprised of a case based on which technical and statistical questions were asked. The expectation of team was not clear as they wanted Data Scientist to know data engineering, analytics and developer work as well.",Introduction?
"May 16, 2018",Data Scientist Interview,Anonymous Interview Candidate,No Offer,Negative Experience,Average Interview,I applied through a recruiter.The process took 3 weeks.I interviewed at Apple in May 2018,"Get contacted by recruiter on LinkedIn. Schedule a phone interview one week later.  Recruiter doesn't share any useful aspects on the interview. I was told that I can code in any language but turns out I need to code in Python, which is not my preferred language. Interviewer also asked a few machine learning questions and I answered them well, I believe.",what's bias variance tradeoff. How is XGBoost handling bias-variance tradeoff? Code in Python to find anagrams in a list and print out list of anagrams.
"Aug 3, 2018",Data Scientist Interview,"Anonymous Interview Candidate in Cupertino, CA",No Offer,Neutral Experience,Average Interview,"I applied online.The process took 2 months.I interviewed at Apple (Cupertino, CA) in May 2018","1, HR calls (30 min, asking about your background)
2, Hiring Manager ( asking more details about your projects, technical)
3, take home assessment (data analysis take home assessment, 1 week to do)
4, onsite interview ( 7 rounds, with managers from different teams)","loading json, how to store json file, data collection part. Questions regarding quality assurance of design of a product. Free lunch with hiring manager under 10 dollars, however, it's a INTERVIEW, he/she will ask you some projects. Asking about statistics, pdf, cdf. Meet with manager of hiring manager. Do some python. "
"Jan 14, 2018",Data Scientist Interview,Anonymous Interview Candidate,No Offer,Neutral Experience,Difficult Interview,I applied through an employee referral.The process took 1 day.I interviewed at Apple,"One technical interview with a junior, one general interview with a senior. They looked for a experience to be in a consultant position. The technical question was a discussion of about predicting time series of multiple iot sensors.","You have time series of sensors, predict the next reading"
"May 18, 2018",Data Scientist Interview,Anonymous Interview Candidate in New Delhi,Declined Offer,Negative Experience,Average Interview,I applied online.The process took 2 months.I interviewed at Apple (New Delhi) in Jan 2018,Too length and questions are too broad.  Interviewer are not well prepared.  The time is too short and to rough. Process takes too long to get a feedback.,"What do you like to do in next 5 years.
What is your life so far?

What do you like to do?"
"Nov 7, 2017",Data Scientist Interview,"Anonymous Interview Candidate in Cupertino, CA",No Offer,Negative Experience,Difficult Interview,"I applied through a recruiter.The process took 3 weeks.I interviewed at Apple (Cupertino, CA) in Oct 2017","Initial interview steps were quite straightforward. Good conversation with the hiring manager, lots of alignment between my skills and their needs. Moved forward to technical screen, 1 hour of Python exercises and general data science reasoning. I'm not a brilliant coder but I was able to talk through my solutions and their shortcomings so I got invited to a full day on-site.

That's where things went sideways. Apple is incredibly secretive about the interview process, so not only did they not tell me who I would be meeting with, they refused to even tell me what subject matter would be covered. Naturally, I prepared in line with what I had discussed with the hiring manager and given my understanding of the role. I was then blindsided by interview after interview of highly technical machine learning and software development practice interviews, none of which focused on the actual application areas that were at the core of the role (NLP and dataset management). It was almost as if I was suddenly interviewing for a different job. Needless to say, things didn't work out.

Oh and then Apple refused to reimburse any of my expenses related to the onsite visit.","Describe for me in detail the difference between L1 and L2 regularization, specifically as regards the difference in their impact on the model training process itself"
"Nov 3, 2017",Data Scientist Interview,"Anonymous Interview Candidate in Cupertino, CA",No Offer,Neutral Experience,Easy Interview,"I applied online.The process took 6 months.I interviewed at Apple (Cupertino, CA) in Jul 2017","Initial phone screen from recruiter, phone interview with hiring manager, technical interview, onsite interview. They  were extremely slow at every step. I had to follow up several times between each step just to make sure they were still considering me. It's been a few months since I did the onsite interview and I still haven't heard a definite yes or no even after following up with every person on the recruiting team.",Every interview was a relaxed conversation. I asked as many or more questions than they asked me. 
"Jun 27, 2017",Data Scientist Interview,"Anonymous Interview Candidate in Austin, TX",No Offer,Negative Experience,Average Interview,"I applied online.I interviewed at Apple (Austin, TX) in May 2017","The interview process was very lengthy. I talked to 9 different people on the phone, presented a case study onsite and had 2 hours of lunch/interview on site. At the end, I did not hear from them for almost two weeks. I sent an email to follow up and after 3 days, the recruiter sent me ""no thank you"" email with no feedback. I asked for greater feedback as I had gone through almost 10 hours of interview with them. I never heard back. It is very disappointing to see the hiring process is a ""one-way"" road for Apple: when they need you, they keep calling you. When they don't, they disappear. Very unprofessional.",Why Apple? 
"May 31, 2017",Data Scientist Interview,"Anonymous Interview Candidate in Santa Clara, CA",No Offer,Negative Experience,Average Interview,"I applied through a recruiter.I interviewed at Apple (Santa Clara, CA) in Apr 2017","Internal Apple recruiter reached out to me on LinkedIn, and set up a a phone call between me and one of the team members. It was a technical phone screening. Then I moved on to the next phone screen with the team lead, which was another technical phone screen. Then another call with the recruiter to set up the onsite interview. The onsite interview consisted of a 40 minutes presentation which I prepared a lot for. I had 8 rounds of interviews in one day with 8 people form the team and other teams. Some interviews were technical and some behavioral. I was there onsite from 10AM with back-to-back interviews. The recruiting coordinator ""forgot"" to schedule a time for lunch. So I had to go through the day without eating until 5PM. Rooms were not reserved for some interviews and we had walk around to find an available room. It was a total mess. After 8 rounds of interviews and 40 minutes of presentation I was done. 

After more than 1 month that I did not hear from them, I sent an email to them asking for some feedback. they said we are working on it and will get back to you. I again did not hear form them for another two weeks. So I sent another email again asking for feedback. Then the recruiter called me and said all the reviews were great, and all the candidates were good, it was a hard decision and we had to move forward with the candidate who go the highest score. 

That's fine if you do not want to move forward with an applicant. But not giving them any feedback for more than one month, and blaming it on ""we are very busy, and have too much on our plates"" is not an acceptable excuse. Candidates spent days preparing for such interviews and it is very disrespectful not to even care to email them back with the decision. I am sure had I not emailed them, I would not have heard back for another month. very disrespectful!",The asked a question about set cover. 
"Nov 10, 2015",Data Scientist Interview,"Anonymous Employee in Cupertino, CA",Accepted Offer,Neutral Experience,Difficult Interview,"I applied through an employee referral.The process took 4 weeks.I interviewed at Apple (Cupertino, CA) in Sep 2014","16 people interviewed me in two days!! That was crazy! A variety of questions were asked, from teasers, programming questions to statistical questions. I liked how smart interviewers were.",My background and specially internship experiences
"Nov 6, 2013",Data Scientist Interview,"Anonymous Employee in Cupertino, CA",Accepted Offer,Positive Experience,Difficult Interview,"I applied through a recruiter.The process took 4 weeks.I interviewed at Apple (Cupertino, CA) in Jan 2013","Started with 2-3 phone screens after being contacted initially by a recruiter internal to Apple.  They then brought me on-site to the Cupertino, CA campus to meet 5 interviewers, which varied from programmers, data scientists, to managers and directors. The interview on-ste consisted of general knowledge questions regarding programming and statistics/math. There was an example of how to model certain data sets.","How do you take millions of users with 100's of transactions each, amongst 10k's of products and group the users together in a meaningful segments?"
